entity,l2_delta
Samani,54.48497
Revolute,54.48227
Zootomist,54.468575
Bursters,54.4654
Overregulate,54.450855
Oscillometer,54.4319
Bottine,54.40015
Curtain,54.37929
Chemotropic,54.346416
Vaginectomies,54.33478
Ocypete,54.32403
Iliadist,54.32382
Flamelike,54.31858
Judaize,54.265186
Swordman,54.26191
Naturalistic,54.238396
Lacerta,54.20744
Spoonfuls,54.200348
Broomwood,54.194622
Interrenalism,54.101486
Utible,54.07371
Clubhands,54.02942
Viscoid,54.02001
Glauke,54.006985
Eurasian,53.97994
Planigraphy,53.979755
Reprints,53.973953
Mayvin,53.96271
Narcissistic,53.948727
Encephalocele,53.931034
Antiglobulin,53.898544
Brazilite,53.848797
Astigmometer,53.84171
Marauders,53.830296
Rockfishes,53.827972
Mastiffs,53.812626
Oriolidae,53.80289
Antidemocracy,53.691105
Nasality,53.683174
Thanatosis,53.64567
Noninductive,53.640858
Cuneiform,53.61673
Chaffinch,53.579327
Gazogene,53.546413
Rushland,53.516335
Valuta,53.51401
Enleaf,53.49763
Precursors,53.482365
Dinaric,53.479084
Rockbird,53.42744
Tribromide,53.41007
Omadhaun,53.387463
Sulphurous,53.36277
Evovae,53.349144
Pincheck,53.34249
Ramekin,53.313553
Outthruster,53.31341
Spirituel,53.3086
Acidifiers,53.300426
Stileman,53.266182
Skiffs,53.23985
Briers,53.199677
Radiotracer,53.19659
Varieties,53.151276
Waxflower,53.119274
Chromograph,53.119114
Leipzig,53.104267
Formicariae,53.092392
Deathful,53.090183
Coalmonger,53.007057
Lambdas,53.000706
Bovids,52.99198
Tampons,52.98319
Dracaena,52.923332
Unconvenience,52.83509
Betatrons,52.81246
Pictographic,52.808426
Lancelets,52.801697
Alumite,52.790382
Tropospheric,52.784023
Disboard,52.774757
Heterophaga,52.74122
Melanics,52.707134
Steads,52.67458
Ghibli,52.67214
Arriero,52.66024
Hellholes,52.634495
Puritanizer,52.617
Avenue,52.60958
Kingship,52.526115
Inoculability,52.46944
Technonomic,52.465458
Erbium,52.459496
Replacer,52.44829
Pencilwood,52.446354
Cancerite,52.42859
Demulsifier,52.415985
Abiogenetical,52.380543
Phoneme,52.328896
Nationless,52.310387
Enologies,52.300144
Oxidises,52.233883
Chondrectomy,52.2072
Deaneries,52.19705
Placaters,52.196735
Urbaner,52.181828
Birdfarms,52.16223
Sprain,52.16209
Rivell,52.143635
Sartorius,52.114994
Diocese,52.103203
Hypogastric,52.06041
Progressor,52.056202
Cinnamate,52.000607
Guelph,51.999905
Tetragram,51.991932
Cheekish,51.949383
Backfires,51.946697
Spiritualiser,51.931103
Sadducees,51.912804
Junkyards,51.912785
Guittonian,51.909325
Impotent,51.907623
Corroborations,51.90529
Secreta,51.89068
Almsgiver,51.87902
Trematosaurus,51.859455
Resort,51.815933
Plasmolysis,51.802395
Phyllodia,51.76475
Carryovers,51.719463
Reclusery,51.705124
Tachyon,51.672585
Mercantilistic,51.6291
Sonship,51.617172
Monolithic,51.601376
Planetaries,51.591938
Eclogic,51.547512
Bloomage,51.490612
Percussion,51.4768
Nontheoretical,51.463085
Hydrogens,51.461502
Connexity,51.452885
Godmotherhood,51.421837
Apothems,51.413383
Herbaceous,51.407974
Lymphatic,51.40118
Uroptysis,51.37707
Sparrowwort,51.375206
Malayalam,51.361534
Doctoral,51.334538
Neopaleozoic,51.307777
Foretooth,51.26099
Dispersible,51.25218
Colonial,51.235977
Equidiurnal,51.190536
Chewiest,51.174507
Sudatorium,51.1745
Cystoidea,51.13769
Biospeleology,51.126236
Bengal,51.10575
Muscovy,50.925125
Mediumism,50.91586
Preexecutor,50.910873
Ecumenic,50.906887
Eclampsia,50.89404
Cryptococcus,50.874844
Elaphrium,50.85876
Portas,50.84604
Multiengine,50.77606
Pastoral,50.768276
Cornmeal,50.73536
Farley,50.719414
Autoloaders,50.70562
Chamade,50.668995
Macrodontism,50.668423
Aerosats,50.62766
Rehash,50.60484
Hemadynamics,50.595093
Gastrotricha,50.585808
Arbours,50.585392
Canoeist,50.54629
Precisionism,50.543255
Amorphous,50.519756
Armories,50.511726
Caricaturists,50.505325
Febricide,50.503166
Pyelometry,50.492844
Spermosphere,50.467087
Chaldaism,50.46482
Oxytocin,50.44843
Buggymen,50.435684
Midterms,50.430458
Taxameter,50.42922
Flavours,50.42729
Jointers,50.397694
Saponine,50.387905
Embryologies,50.370987
Rebound,50.34232
Bandits,50.325138
Anomoeanism,50.29624
Sarcolite,50.288002
Geoglossum,50.276352
Softie,50.25661
Squirreltail,50.248295
Chignons,50.223114
Syriacism,50.166832
Breech,50.158916
Bryophyte,50.134815
Methoxy,50.12811
Scientism,50.100746
Shofars,50.09382
Honorarium,50.09018
Hildebrandism,50.089878
Cultivations,50.081917
Hawksbill,50.034874
Unresidential,50.008385
Halifax,50.001743
Dublin,49.977116
Wiseacreism,49.964157
Adversarial,49.957943
Enlight,49.937187
Diuretics,49.924076
Pregame,49.91106
Recommender,49.900227
Reliabilities,49.894413
Archiheretical,49.878567
Expressional,49.85043
Trafficability,49.779274
Lawsuits,49.71976
Garter,49.682228
Chaptrel,49.680664
Aquarius,49.67779
Animisms,49.675434
Resourceful,49.671673
Stowaway,49.622498
Shrubland,49.593422
Cerulein,49.583202
Chirographic,49.558426
Caldera,49.556366
Fortunize,49.535454
Goitrogen,49.519447
Proletarianism,49.517822
Craton,49.517002
Pignon,49.503166
Oversprung,49.47912
Expediential,49.468838
Distressful,49.458103
Gestura,49.45154
Pronouncer,49.447876
Paralogism,49.414
Rooflike,49.401703
Greyhound,49.397102
Camouflage,49.381935
Fulminant,49.364567
Doubts,49.359627
Intentions,49.33352
Abolitionism,49.263485
Magnetimeter,49.25816
Ecstatic,49.249035
Irrelevant,49.225933
Coinmaker,49.2194
Brills,49.17801
Zombies,49.16779
Scandinavians,49.150105
Lamblike,49.122036
Problematic,49.121975
Internuncios,49.093357
Bootlaces,49.08196
Betula,49.08092
Unshackle,49.051296
Desecrations,48.97217
Guyana,48.96969
Escambio,48.957317
Carolina,48.915
Anosmic,48.904354
Sporotrichosis,48.873947
Gradientia,48.67788
Durban,48.64055
Guider,48.631737
Wiretaps,48.528866
Poundkeeper,48.519886
Proven,48.5171
Wisdom,48.513794
Heaters,48.51034
Pilotages,48.488384
Authorizer,48.460026
Quaresma,48.456177
Eurodollar,48.43108
Upcasts,48.424835
Pectunculus,48.38889
Bogota,48.384613
Chytrid,48.365532
Mastmen,48.359653
Houndsbane,48.35665
Morales,48.317738
Bloodlettings,48.30747
Singles,48.30018
Relativistic,48.298744
Nonprofession,48.24696
Demineralizer,48.211754
Immigrations,48.206497
Sandstone,48.16271
Metrectasia,48.14616
Verandas,48.106964
Schemas,48.106007
Radiochemistry,48.07939
Kinaesthesia,48.012794
Dispassion,47.969868
Hornworm,47.963615
Delthyria,47.959114
Sideshake,47.95608
Phaenogenesis,47.94216
Imides,47.938564
Pellmell,47.885082
Perceivability,47.868206
Semeiotic,47.85602
Epochs,47.82755
Nybble,47.74805
Liroth,47.73835
Subpools,47.684963
Tallowberry,47.671234
Intarsias,47.640137
Colonizers,47.632244
Foreteeth,47.60302
Madship,47.58094
Glitterance,47.526356
Hyperploidy,47.518646
Bacteriology,47.48539
Unicef,47.402557
Disability,47.393677
Hideout,47.386654
Voices,47.254684
Tarsier,47.237865
Mammoths,47.189457
Carotenoid,47.177643
Extensor,47.166687
Haemolytic,47.162968
Undeductive,47.150444
Sindhi,47.132206
Motilities,47.118607
Abroad,47.072124
Birdbaths,47.035183
Despond,47.018204
Formolite,46.97104
Formulators,46.970066
Ouzels,46.91605
Forebode,46.907402
Orotherapy,46.887314
Cosines,46.887062
Nomadism,46.84433
Chrosperma,46.84197
Mycobacterial,46.840332
Genesiology,46.776176
Reticle,46.771687
Caulicule,46.751675
Ascendent,46.709637
Kvarner,46.68727
Innate,46.67855
Applicative,46.632557
Aptnesses,46.61698
Relationals,46.556046
Mucocele,46.553013
Unprolific,46.544994
Postscripts,46.478584
Inefficiencies,46.464447
Mortality,46.375504
Juggernauts,46.354874
Dimmer,46.332752
Substyle,46.29768
Salesmanship,46.29305
Lenticle,46.237362
Nucleophilic,46.19913
Azeotrope,46.195564
Devalue,46.01694
Micronutrient,46.002674
Swordtail,45.971275
Thatchwork,45.954414
Colosseum,45.918713
Flexion,45.813545
Ninebark,45.756084
Hohokam,45.74964
Resinous,45.743443
Catalogers,45.73401
Prodigy,45.72766
Postface,45.698982
Serpette,45.631588
Shotguns,45.56829
Pyuria,45.527283
Billionaire,45.519398
Rattlertree,45.51021
Parody,45.495296
Fractureproof,45.441746
Yorker,45.419125
Nebraskans,45.388462
Dielectric,45.347233
Consent,45.334732
Handlooms,45.331272
Bloodsuck,45.309933
Hymenopter,45.289497
Gynecologic,45.288074
Methodizer,45.242954
Acupuncturists,45.155045
Bandpass,45.110073
Producers,45.088715
Collard,45.07725
Postlude,45.061234
Porphyrin,45.059273
Neurology,44.91972
Stratography,44.890842
Subprior,44.879635
Selfsame,44.858772
Syrian,44.797413
Inexpensive,44.78348
Fieldmice,44.686077
Cosmologygy,44.63408
Colinearity,44.532246
Disconnections,44.516766
Prisms,44.472202
Gastrin,44.382996
Docudrama,44.351116
Mecodonta,44.30573
Bequest,44.24546
Endosymbiosis,44.168045
Battlements,44.15999
Celiac,44.100937
Omnivorous,43.840694
Coyotes,43.79052
Landmarks,43.755497
Codebooks,43.744244
Budgies,43.718533
Playfield,43.668358
Checkpoints,43.630905
Intune,43.591373
Ferries,43.526855
Nuthatches,43.486423
Confounders,43.41519
Anomalies,43.383217
Steelhead,43.281265
Platings,43.18866
Extrasolar,43.16723
Transits,43.083145
Firebreaks,43.05488
Assigns,42.984177
Gemmologists,42.783337
Sensory,42.645813
Breakouts,42.625645
Tornado,42.614483
Padcloth,42.535637
Tanneries,42.504543
Forelimbs,42.26911
Memorial,42.26134
Winegrower,42.25412
Thyreoid,42.156483
Banish,42.119514
Guitar,42.08398
Glomeruli,42.05622
Filefish,42.019016
Loyalties,42.006042
Termites,41.861053
Marshlands,41.838726
Bollards,41.83789
Impressionists,41.782585
Corporalities,41.500008
Metabolic,41.145973
Slovak,41.005188
Cervical,40.670227
Narrators,40.632706
Formulations,40.369244
Tinctures,40.34474
Erectile,40.16911
Pterodactyls,40.09302
Warmth,39.877098
Wavelet,39.78779
Crowns,39.566444
Ireland,38.865868
Presets,38.853313
Euclidean,38.658337
Theatres,38.41558
Oregonians,37.725494
Easter,37.131283
Wingers,37.06151
Reluct,36.421764
Watercolourist,31.625021
